Identificação;Data de apresentação;Emenda;Autor;Partido
EMENDA 43 PLEN - PL 2630/2020;02/06/2020;EMENDA 43;Senador Jean Paul Prates (PT/RN);PT
EMENDA 44 PLEN - PL 2630/2020;02/06/2020;EMENDA 44;Senador Humberto Costa (PT/PE);PT
EMENDA 45 PLEN - PL 2630/2020;02/06/2020;EMENDA 45;Senador Humberto Costa (PT/PE);PT
EMENDA 46 PLEN - PL 2630/2020;02/06/2020;EMENDA 46;Senador Humberto Costa (PT/PE);PT
EMENDA 47 PLEN - PL 2630/2020;02/06/2020;EMENDA 47;Senador Humberto Costa (PT/PE);PT
EMENDA 48 PLEN - PL 2630/2020;02/06/2020;EMENDA 48;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 49 PLEN - PL 2630/2020;02/06/2020;EMENDA 49;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 50 PLEN - PL 2630/2020;02/06/2020;EMENDA 50;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 51 PLEN - PL 2630/2020;02/06/2020;EMENDA 51;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 52 PLEN - PL 2630/2020;02/06/2020;EMENDA 52;Senador Fabiano Contarato (REDE/ES);REDE
EMENDA 53 PLEN - PL 2630/2020;02/06/2020;EMENDA 53;Senador Rogério Carvalho (PT/SE);PT
EMENDA 54 PLEN - PL 2630/2020;02/06/2020;EMENDA 54;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 55 PLEN - PL 2630/2020;02/06/2020;EMENDA 55;Senador Alessandro Vieira (CIDADANIA/SE);CIDADANIA
EMENDA 56 PLEN - PL 2630/2020;02/06/2020;EMENDA 56;Senador Dário Berger (MDB/SC);MDB
EMENDA 57 PLEN - PL 2630/2020;02/06/2020;EMENDA 57;Senador Jorge Kajuru (CIDADANIA/GO);CIDADANIA
EMENDA 58 PLEN - PL 2630/2020;02/06/2020;EMENDA 58;Senador Jorge Kajuru (CIDADANIA/GO);CIDADANIA
EMENDA 59 PLEN - PL 2630/2020;02/06/2020;EMENDA 59;Senador Jaques Wagner (PT/BA);PT
EMENDA 60 PLEN - PL 2630/2020;02/06/2020;EMENDA 60;Senador Jaques Wagner (PT/BA);PT
EMENDA 61 PLEN - PL 2630/2020;02/06/2020;EMENDA 61;Senador Rodrigo Cunha (PSDB/AL);PSDB
EMENDA 62 PLEN - PL 2630/2020;02/06/2020;EMENDA 62;Senador Vanderlan Cardoso (PSD/GO);PSD
EMENDA 63 PLEN - PL 2630/2020;02/06/2020;EMENDA 63;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 64 PLEN - PL 2630/2020;02/06/2020;EMENDA 64;Senador Rodrigo Cunha (PSDB/AL);PSDB
EMENDA 65 PLEN - PL 2630/2020;02/06/2020;EMENDA 65;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 66 PLEN - PL 2630/2020;03/06/2020;EMENDA 66;Senador Mecias de Jesus (REPUBLICANOS/RR);REPUBLICANOS
EMENDA 67 PLEN - PL 2630/2020;04/06/2020;EMENDA 67;Senador Nelsinho Trad (PSD/MS);PSD
EMENDA 68 PLEN - PL 2630/2020;04/06/2020;EMENDA 68;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 69 PLEN - PL 2630/2020;04/06/2020;EMENDA 69;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 70 PLEN - PL 2630/2020;04/06/2020;EMENDA 70;Senador Zequinha Marinho (PSC/PA);PSC
EMENDA 71 PLEN - PL 2630/2020;04/06/2020;EMENDA 71;Senador Zequinha Marinho (PSC/PA);PSC
EMENDA 72 PLEN - PL 2630/2020;04/06/2020;EMENDA 72;Senador Zequinha Marinho (PSC/PA);PSC
EMENDA 73 PLEN - PL 2630/2020;05/06/2020;EMENDA 73;Senador Zequinha Marinho (PSC/PA);PSC
EMENDA 74 PLEN - PL 2630/2020;08/06/2020;EMENDA 74;Senador Wellington Fagundes (PL/MT);PL
EMENDA 75 PLEN - PL 2630/2020;08/06/2020;EMENDA 75;Senador Humberto Costa (PT/PE);PT
EMENDA 76 PLEN - PL 2630/2020;09/06/2020;EMENDA 76;Senador Jader Barbalho (MDB/PA);MDB
EMENDA 77 PLEN - PL 2630/2020;09/06/2020;EMENDA 77;Senador Jader Barbalho (MDB/PA);MDB
EMENDA 78 PLEN - PL 2630/2020;09/06/2020;EMENDA 78;Senador Jader Barbalho (MDB/PA);MDB
EMENDA 79 PLEN - PL 2630/2020;16/06/2020;EMENDA 79;Senador Jean Paul Prates (PT/RN);PT
EMENDA 80 PLEN - PL 2630/2020;18/06/2020;EMENDA 80;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
