id;uri;siglaTipo;numero;ano;ementa;urlInteiroTeor;Fake_news;OBS
2259207;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259207;PL;4046;2020;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) para acrescentar meio de comunicação de massa ou sistema de informática ou telemática para causar dano à honra ou imagem como agravante de pena.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1918648;;
2190206;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190206;SBT;6;0;Dispõe sobre as normas gerais relativas a concursos públicos.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1703242;;
2265937;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2265937;PL;5347;2020;Cria a Lei de Enfrentamento à Desinformação nas Eleições.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1945976;;
2190522;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190522;PL;80;2019;Define os crimes de abuso de autoridade, revoga a Lei nº 4.898, de 9 de dezembro de 1965, e dispositivos do Código Penal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707399;;
2308325;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2308325;PL;4134;2021;Acrescenta o art.287-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para tipificar o crime de divulgação de notícia falsa.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2109923;;
2273931;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273931;PL;912;2021;Altera o art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional);http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1975429;;
2156331;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2156331;PL;8843;2017;"Dispõe sobre o processo administrativo sancionador na esfera de atuação do Banco Central do Brasil e da Comissão de Valores Mobiliários, altera a Lei nº 4.131, de 3 de setembro de 1962, a Lei nº 4.380, de 21 de agosto de 1964, a Lei nº 4.728, de 14 de julho de 1965, a Lei nº 4.829, de 5 de novembro de 1965, a Lei nº 6.024, de 13 de março de 1974, a Lei nº 6.385, de 7 de dezembro de 1976, a Lei nº 7.492, de 16 de junho de 1986, a Lei nº 9.069, de 29 de junho de 1995, a Lei nº 9.613, de 3 de março de 1998, a Lei nº 9.873, de 23 de novembro de 1999, a Lei nº 10.214, de 27 de março de 2001, a Lei nº 11.371, de 28 de novembro de 2006, a Lei nº 11.795, de 8 de outubro de 2008, a Lei nº 12.810, de 15 de maio de 2013,  a Lei nº 12.865, de 9 de outubro de 2013, o Decreto nº 23.258, de 19 de outubro de 1933, o Decreto-Lei nº 9.025, de 27  de  fevereiro  de  1946,  o  Decreto-Lei  nº  70,  de  21  de novembro de 1966 e a Medida Provisória nº 2.224, de 4 de setembro de 2001, e dá outras providências.

NOVA EMENTA: Dispõe sobre o processo administrativo sancionador na esfera de atuação do Banco Central do Brasil e da Comissão de Valores Mobiliários; altera as Leis nºs 6.385, de 7 de dezembro de 1976, 4.131, de 3 de setembro de 1962, 4.829, de 5 de novembro de 1965, 6.024, de 13 de março de 1974, 7.492, de 16 de junho de 1986, 9.069, de 29 de junho de 1995, 9.613, de 3 de março de 1998, 10.214, de 27 de março de 2001, 11.371, de 28 de novembro de 2006, 11.795, de 8 de outubro de 2008, 12.810, de 15 de maio de 2013, 12.865, de 9 de outubro de 2013, e 4.595, de 31 de dezembro de  1964, o Decreto nº 23.258, de 19 de outubro de 1933, o Decreto-Lei nº 9.025, de 27 de fevereiro de 1946, e a Medida Provisória nº 2.224, de 4 de setembro de 2001; revoga o Decreto-Lei nº 448, de 3 de fevereiro de 1969, e dispositivos das Leis nºs 9.447, de 14 de março de 1997, 4.380, de 21 de agosto de 1964, 4.728, de 14 de julho de 1965, e 9.873, de 23 de novembro de 1999; e dá outras providências.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1609736;;
1531554;https://dadosabertos.camara.leg.br/api/v2/proposicoes/1531554;SBT;1;0;"NA";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1353862;;
485567;https://dadosabertos.camara.leg.br/api/v2/proposicoes/485567;SBT;1;0;Obriga a veiculação de publicidade de saúde pública pelas empresas de transportes coletivos urbanos.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=813012;;
2157986;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2157986;PL;8909;2017;"Altera a Lei nº 12.288, de 20 de junho de 2010, que ""institui o Estatuto da Igualdade Racial"", para estabelecer regras para assegurar a inclusão da população negra nos concursos públicos da administração pública direta e indireta de qualquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1612497;;
2299965;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2299965;RDF;1;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2078268;;
2191130;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2191130;PDL;12;2019;Susta os efeitos do Decreto nº 9.690, de 23 de janeiro de 2019, que altera o Decreto nº 7.724, de 16 de maio de 2012, que regulamenta a Lei nº 12.527, de 18 de novembro de 2011 - Lei de Acesso à Informação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707710;;
1279356;https://dadosabertos.camara.leg.br/api/v2/proposicoes/1279356;PL;1579;2015;Regulamenta o artigo 239, §4º da Constituição Federal de 1988, ao criar critério suplementar de financiamento do seguro-desemprego a partir da cobrança de percentual adicional sobre alíquota de contribuição para o Programa de Integração Social (PIS), criado pela Lei Complementar nº 7, de 7 de setembro de 1970, e para o Programa de Formação do Patrimônio do Servidor Público (PASEP), criado pela Lei Complementar nº 8, de 3 de dezembro de 1970, dos sujeitos passivos cujos índices de rotatividade da força de trabalho supere o índice médio da rotatividade do respectivo setor econômico na Unidade da Federação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1336072;;
