id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
2297941;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070484
2309788;SBT-A;Substitutivo adotado pela Comissão;2021-12-01;0;Tipifica como crime de responsabilidade a disseminação ou compartilhamento por ocupante de cargo, função ou emprego público de informação falsa, sem fundamento ou difamatória.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2115515
2087820;EMR;Emenda de Relator;2016-06-14;0;;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1467420
2297457;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Emenda de Plenário - PLP 112-2021 - Investigação eleitoral - candidatos laranjas;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068478
2134252;PL;Projeto de Lei;2017-05-04;2017;Acrescenta artigo à Lei nº 12.232, de 29 de abril de 2010, para estabelecer a obrigatoriedade de divulgação de informações acerca dos custos de campanhas publicitárias oficiais.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1553181
2218850;PL;Projeto de Lei;2019-09-04;2019;Altera a Lei nº 12.232, de 29 de abril de 2010, para acrescentar normas relativas à execução de serviços de publicidade contratados pela administração pública;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1802866
510890;PL;Projeto de Lei;2011-06-30;2011;Institui o direito de resposta em caso de acusação ou ofensa divulgada na rede mundial de computadores.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=894820
2297893;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070250
2238246;PL;Projeto de Lei;2020-03-03;2020;Altera o Marco Civil da Internet, Lei nº 12.965, de 23 de abril de 2014, para dispor sobre exclusão de resultados, pelos provedores de aplicação de busca na Internet, de nomes de policiais absolvidos em processos criminais.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1862053
545666;PL;Projeto de Lei;2012-05-23;2012;Acrescenta parágrafo ao art. 2º  da Lei nº 12.232, de 29 de  abril de 2010, que dispõe sobre as normas gerais  para licitação e contratação pela administração  pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências , para estabelecer que a publicidade de atos, programas, obras, serviços e campanhas dos órgãos públicos realizados em parcerias do Governo Federal com Estados e/ou Municípios deverá, obrigatoriamente, exibir informação acerca da parceria.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=994834
2277821;PL;Projeto de Lei;2021-04-13;2021;Dispõe sobre a liberdade de expressão e informação na internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1990786
17581;PL;Projeto de Lei;1991-02-19;1991;Disciplina a ação indenizatória por violação da intimidade, da honra, da imagem das pessoas e da vida privada, prevista no artigo 5º, inciso X, da Constituição Federal.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15523
2203193;PL;Projeto de Lei;2019-05-14;2019;Acrescenta parágrafo ao art. 93 da lei nº 13.303 de 30 de junho de 2016, que dispõe sobre o estatuto jurídico da empresa pública, da sociedade de economia mista e de suas subsidiárias, no âmbito da União, dos Estados, do Distrito Federal e dos Municípios, de forma a instituir divulgação de gastos de patrocínio e publicidade.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1747508
1215326;PL;Projeto de Lei;2015-04-23;2015;Dá nova redação ao §1º, e cria o §3º ao art. 53 da Lei n.º 9.504, de 1997, que estabelece normas para as eleições.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1324151
2297510;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Dê-se ao caput do art. 168 do substitutivo apresentado ao Projeto de Lei Complementar nº 112, de 2021, a seguinte redação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068636
2297559;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068872
2297558;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Altera o PLP 112/2021.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068868
2319386;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156113
2297551;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;EMENDA  DE  PLENÁRIO PLP 112;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068848
2191195;PL;Projeto de Lei;2019-02-05;2019;Altera a Lei n° 12.232, de 29 de abril de 2010, dispondo sobre normas de contratação pela administração pública de serviços de publicidade para estabelecer critérios objetivos para a veiculação de peças publicitárias dos órgãos e entidades do Poder Executivo da Administração direta e indireta e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707898
1553982;PL;Projeto de Lei;2015-07-06;2015;Acresce o art. 171-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) para tipificar como estelionato promessas de candidatos a cargos eletivos, na esfera do Poder Público, feitas por qualquer meio no período de campanha eleitoral e que não venham a ser cumpridas durante o mandato.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1357513
